Event Type,Location,Region,Country,Latitude,Longitude,Date,Time UTC,Details,Deaths,Source Link
large hail,Oriental,Figuig,Morocco,32.11,1.23,13-10-2022,16:22,"based on information from:  an eye-witness report, a report on a website, photo or video of the event maximum hail diameter: 3 cm https://www.facebook.com/figuig.photographie/videos/623498986010793 Reference: Severe Weather Morocco, v. Facebook, 13 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
large hail,Oriental,Baba Amar,Morocco,32.09,1.22,13-10-2022,16:20,"based on information from:  an eye-witness report, a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage maximum hail diameter: 4 cm Impacts: Car window(s) or windshield(s) broken https://www.facebook.com/watch/?v=839123227119642 https://www.facebook.com/figuig.photographie/videos/665636328613315/ Reference: Figuig photographie, v. Facebook, 13 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Rabat-Salé-Zemmour-Zaër,Ar Rommani,Morocco,33.53,6.60,12-10-2022,18:40,"based on information from:  a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor, Car(s) damaged (unspecified) Number of people dead: 1 . https://www.facebook.com/100063553612035/videos/817219242660820 Reference: Severe Weather Morocco , v. Facebook, 13 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",1,#map_div
heavy rain,Chaouia-Ouardigha,Oulad Attou,Morocco,32.61,7.33,12-10-2022,18:30,"based on information from:  an eye-witness report, an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Farmland flooded https://www.facebook.com/photo?fbid=547986063996509&set=pcb.547986380663144 https://www.facebook.com/photo?fbid=547986203996495&set=pcb.547986380663144 Reference: Severe Weather Morocco, v. Facebook, 13 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Meknès-Tafilalet,Khenifra,Morocco,32.93,5.66,12-10-2022,17:00,"based on information from:  an eye-witness report, an eyewitness report of the damage, a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor, Car(s) damaged (unspecified), Farmland flooded https://www.facebook.com/abdelaziz.allabbaa/videos/1161351144466776 https://www.facebook.com/weather.morocco/videos/1515921478829117 Reference: Severe Weather Morocco, v. Facebook, 12 OCT 2022; Weather Morocco, v. Facebook, 12 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Béni-Mellal-Khenifra,M'Rirt,Morocco,33.16,5.57,12-10-2022,14:50,"based on information from:  an eye-witness report, an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Basement(s) flooded, Flooding of ground floor, Farmland flooded https://www.facebook.com/brahim.jamal.581/videos/511853643776982 Reference: Severe Weather Morocco, v. Facebook, 12 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Marrakech-Tensift-Al Haouz,Marrakech,Morocco,31.63,8.00,11-10-2022,23:00,"based on information from:  an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor https://www.facebook.com/100063553612035/videos/501453008335982 Reference: Severe Weather Morocco, v. Facebook, 12 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Meknès-Tafilalet,Tattiouine,Morocco,32.59,4.76,11-10-2022,14:05,"based on information from:  an eye-witness report, an eyewitness report of the damage, a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Land- or mudslide(s) https://www.facebook.com/100009199078392/videos/pcb.5865062923504775/617997506644140 https://www.facebook.com/photo?fbid=3222356694747601&set=pcb.5865062923504775 Reference: Severe Weather Morocco, v. Facebook, 11 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Fès-Boulemane,Fès,Morocco,34.05,4.98,11-10-2022,09:00,"based on information from:  a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Basement(s) flooded, Flooding of ground floor, Car(s) damaged (unspecified) https://www.facebook.com/Meteo.Tunisi/ https://www.facebook.com/100063553612035/videos/902177017413154 Reference:  طقس تونس لحظة بلحظة  , v. Facebook, 11 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
large hail,Marrakech-Tensift-Al Haouz,Setti Fatma,Morocco,31.21,7.70,09-10-2022,15:45,"based on information from:  an eye-witness report, a report on a website, photo or video of the event maximum hail diameter: 2 cm https://www.facebook.com/100063553612035/videos/1162259861311731 Reference: Severe Weather Morocco, v. Facebook, 11 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Taza-Al Hoceima-Taounate,Bir Rasfat al Hammam,Morocco,34.23,3.23,09-10-2022,04:30,"based on information from:  a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Car(s) damaged (unspecified) Number of people dead: 2 . Truck swept away from a road by flash floods. Two people (father and son) died https://www.facebook.com/photo/?fbid=131617249633959&set=gm.5264163310380115&idorvanity=2663270057136133 Reference: Météo Algérie, v. Facebook, 11 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",2,#map_div
heavy rain,Taddart Oufella,Taddart Oufella,Morocco,31.34,7.39,08-10-2022,18:00,"based on information from:  an eye-witness report, a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Basement(s) flooded, Flooding of ground floor https://www.facebook.com/100063553612035/videos/472856221530043 Reference: Severe Weather Morocco, v. Facebook, 09 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
severe wind,Chaouia-Ouardigha,Khouribga,Morocco,32.86,6.95,14-12-2022,15:50,"based on information from:  a report on a website, a report by a weather service wind speed: 25.8 m/s Manned weather station (WMO ID:   60178) recorded a wind gust of 25,8 m/s (+/- 0,5 m/s). Time was based also on SAT data. https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60178&decoded=yes&ndays=2&ano=2022&mes=12&day=15&hora=00 Reference: Ogimet.com, date of access: 15 DEC 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Grand Casablanca,Nouasseur,Morocco,33.37,7.59,14-12-2022,15:15,"based on information from:  a report on a website, a report by a weather service wind speed: 25.2 m/s Manned weather station (WMO ID:   60156) recorded a wind gust of 25,2 m/s (+/- 0,5 m/s). Time was based also on SAT data. https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60156&decoded=yes&ndays=2&ano=2022&mes=12&day=15&hora=00 Reference: Ogimet.com, date of access: 15 DEC 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Fès-Boulemane,Fès,Morocco,33.93,4.98,14-12-2022,12:15,"based on information from:  a report on a website, a report by a weather service wind speed: 32.4 m/s Manned weather station (WMO ID:   60141) recorded a wind gust of 32,4 m/s (+/- 0,5 m/s). https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60141&decoded=yes&ndays=2&ano=2022&mes=12&day=15&hora=00 Reference: Ogimet.com, date of access: 15 DEC 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Meknès-Tafilalet,Imilchil,Morocco,32.15,5.63,23-04-2023,15:50,"based on information from:  a report on a website, an eye-witness report, photo or video of the event, an eyewitness report of the damage thickness of hail cover: 6 cm Impacts: Tree(s) damaged Hail cover thickness up to about 5-7 cm was reported after passage of a hailstorm. Damage to apple trees were reported. Time was based on IMGW-PIB radar data. https://www.facebook.com/permalink.php?story_fbid=pfbid0Ry3hBv3EPkVCNz9Wost4dReLiKLRamYF48HNAyDXob9XtS4PHuYFnA2N8Bo5vG87l&id=100079952224384 Reference: Eyewitness report (on Facebook), 23 APR 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Boulemane,Morocco,33.36,4.75,20-04-2023,18:45,"based on information from:  a report on a website, an eye-witness report, photo or video of the event thickness of hail cover: 4 cm Hail cover thickness up to about 3 to 5 cm (roughly estimated) was reported after passage of a hailstorm.Time was based on IMGW-PIB radar data. https://www.facebook.com/boulemanepress/posts/pfbid034wZAL9b8jy585foK2csai79pyUqWZHti9BtdViXsmVKEaECM3TqJGwByYu5Snmml Reference: Boulemanepress بولمان بريس (on Facebook), 20 APR 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Meknès-Tafilalet,Khenifra,Morocco,32.93,5.66,19-04-2023,16:45,"based on information from:  a report on a website, an eyewitness report of the damage, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed Flooded streets were reported after passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/khenifras/posts/pfbid02a5dh6Ta8zBtX624VSfttA7G3aW9KFEYRjT6STZnYUHf6iF4VjPcR7Q9vtL1GPvPGl https://www.facebook.com/khenifras/posts/pfbid02NeHsNgx9uWVSzSAt6HtfivYbLiTJR87znLUXSRHwaWujN3E1D2MSW7STrdPvhSUyl https://www.facebook.com/weather.morocco/posts/pfbid02NKHYin9fVhp4rFGttrAwRmB4iDMYMmA2n6LZGqwi6Z8BJSDwNrHMCusMGBPA1nZjl Reference: Khenifra (on Facebook), 19 APR 2023.  Weather Morocco (on Facebook), 19 APR 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Bouiblane,Morocco,33.68,4.12,21-05-2023,13:45,"based on information from:  a report on a website, an eye-witness report, photo or video of the event maximum hail diameter: 2 cm https://www.facebook.com/profile.php?id=100063553612035&hc_ref=ARQDV5pQOWJ28oyz99mejsqIPIFR5H8eL4hpkSyUAjJcTzpFqs3bWEHze7vBgp3VdUU&fref=nf&__xts__[0]=68.ARDQO2vfNAyP1X-bv4C-DeRGecNgmqrUZy6fky2mt1GyhV1elb831TujOLOro7hkKdOyFiBH21Awtm0MQ6jUf3S-fTxQjLh439AM6LLPne8KSprKwV_ZnvIwKwZeeWQ29l8ZUggnEJxmKTWkVscUQNKhNV254deFG6NUC4nYgnl_8miaHmg2mHLloiuqEFol1kpZVa250etrpfcthDKPAD9L6BwVO1iSfXnMu6DniYHRqhhrGkAJF5bh5uJ_jsuxvSwexNsF0sRGcl1K9HOAl86qkLtN1Z6-HXjNi1cWmrwY1NVlZ83L7g Reference: Severe Weather Morocco (v. Facebook), 21 MAY 2023 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Guercif,Morocco,34.25,3.71,08-06-2023,19:00,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 2.5 cm Large hail up to at least 2.5 cm i.d. was reported between Guercif and Taza. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid02HoKSes7sud5zui6AJ7s3uDjiFop2QovfSHUYdYyw4oCVvXHJ6TMTuM69KxHk8y8Ll&id=100093088393722 Reference: طقس شمال غرب افريقيا تونس الجزائر المغرب ليبيا موريتانيا (on Facebook), 08 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Boulemane,Morocco,33.36,4.75,08-06-2023,17:30,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://rue20.com/721453.html Reference: ""تضرر 9 آلاف هكتار من الأراضي الفلاحية بسبب عاصفة الصقيع في جهة فاس"", rue20.com, 14 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Oued Amlil,Morocco,34.19,4.26,08-06-2023,14:30,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://rue20.com/721453.html Reference: ""تضرر 9 آلاف هكتار من الأراضي الفلاحية بسبب عاصفة الصقيع في جهة فاس"", rue20.com, 14 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Tahla,Morocco,34.16,4.38,08-06-2023,14:30,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 4 cm Large hail up to at least 4 cm i.d. was reported in Tahla area (probably north of Tahla) Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid02FuEanaM47KNZHfwDKRVm2AKtuRw6KfCUkWoG3d5RBEtYVpSpHSUASBkVFASH8AXCl&id=100044398000641 Reference: طقس تونس الجزائر المغرب ليبيا موريتانيا (on Facebook), 08 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Tahla,Morocco,34.05,4.43,08-06-2023,14:20,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://rue20.com/721453.html Reference: ""تضرر 9 آلاف هكتار من الأراضي الفلاحية بسبب عاصفة الصقيع في جهة فاس"", rue20.com, 14 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Fès-Boulemane,Ahermoumou,Morocco,33.82,4.42,04-06-2023,16:30,"based on information from:  a report on a website, an eyewitness report of the damage, photograph(s) and/or video footage of the inflicted damage Local floodings occurred after passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid0gJhtBAXZ73cucGA3WqPtJUhEwpZJgSvTmMkR1mZyFt7xqcfwGrbTovfvXZvUEahAl&id=100063553612035 Reference: Eyewitness report via Severe Weather Morocco (on Facebook), 04 JUN 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Imouzzer du Kandar,Morocco,33.73,5.01,10-08-2023,18:00,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Tree(s) damaged, Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://fesnews.media/259390/2023/08/11/ Reference: ""عاصفة بردية تضرب إيموزار كندر وتتسبب في خسائر مادية جسيمة"", fesnews.media, 11 AUG 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Oriental,Oujda,Morocco,34.68,1.91,14-09-2023,15:00,"based on information from:  a report on a website Impacts: Road(s) impassable or closed, Tree(s) uprooted or snapped Numerous downed trees were reported after the passage of a thunderstorm. Time was based on SAT data. https://www.mawazin.net/Details.aspx?jimare=235010 Reference: ""سيول عارمة تجتاح شرق المغرب.. والأرصاد الجوية تحذر"", mawazin.net, 15 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Oriental,Oujda,Morocco,34.68,1.91,14-09-2023,15:00,"based on information from:  a report on a website Impacts: Road(s) impassable or closed, Tree(s) uprooted or snapped Numerous downed trees were reported after the passage of a thunderstorm. Time was based on SAT data. https://www.mawazin.net/Details.aspx?jimare=235010 Reference: ""سيول عارمة تجتاح شرق المغرب.. والأرصاد الجوية تحذر"", mawazin.net, 15 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Ajdir,Morocco,34.74,3.97,14-09-2023,13:30,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 3 cm Large hail up to at least 3 cm i.d. (roughly estimated) was reported in that area. Time was based on SAT data. https://www.facebook.com/permalink.php?story_fbid=pfbid02cDSyccoUsMFenbvpYQLmosrwUDrSDGLbRtXKLMHXdz9E8LAWtSGyD5J511stmGh8l&id=100044398000641 Reference: Eyewitness report via طقس شمال غرب افريقيا تونس الجزائر المغرب ليبيا موريتانيا (on Facebook), 14 SEP 2023. report status: plausibility check passed (QC0+) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Meknès-Tafilalet,Ait El Abbass,Morocco,32.43,4.47,14-09-2023,11:30,"based on information from:  a report on a website, an eyewitness report of the damage, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Car(s) damaged beyond repair A car was swept away by a floodwater after the passage of a thunderstorm. Time was based on SAT data. https://www.facebook.com/100044398000641/videos/640201881535502/ https://www.facebook.com/mohammedalitunisia/posts/pfbid02iyWhtCJPiQRvQndEgnHjz46t2BKEm6A9AyB6d9fP3HBpYtQHj5PxR2qLzDnGv9qTl Reference: Eyewitness report via طقس شمال غرب افريقيا تونس الجزائر المغرب ليبيا موريتانيا (on Facebook), 14 SEP 2023.  Eyewitness report via التطرف المناخي Climate extremes (on Facebook), 14 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Oriental,Ras Kebdana,Morocco,35.13,2.58,02-09-2023,19:00,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 2 cm Large hail up to at least 2 cm i.d. (roughly estimated) was reported after the passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid09W5WqGYY3b4rWvsvmxVCqPvjKvsnyKgirauicLFTEkCeTw89RC8C68NVWPcDSuqZl&id=100054983478291 Reference: Eyewitness report via أحوال الطقس 2 (on Facebook), 02 SEP 2023. report status: plausibility check passed (QC0+) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Outat el Hajj,Morocco,33.34,3.69,02-09-2023,16:20,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 6 cm Impacts: Tree(s) damaged Very large hail up to at least 6 cm i.d. was reported after the passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/mahdi.mrirt/posts/pfbid02omfUvJWzdvogzthTL9eh7JCiECHgGaYbqqp4PhHbrBcqBCpLsifS9PCDfSa4LbVKl https://www.facebook.com/permalink.php?story_fbid=pfbid02DvwV9xRPyjm9FW5mYZX63EpaMJrohgY8PJi2Jny6o9EK9qGK9hbEL6rPGv9YhqLWl&id=100054983478291 Reference: Eyewitness report via شوارع مريرت (on Facebook), 02 SEP 2023.  Eyewitness report via أحوال الطقس 2 (on Facebook), 02 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Guercif,Morocco,34.23,3.36,02-09-2023,16:05,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 5.5 cm Very large hail up to at least 5-6 cm i.d. was reported after the passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid02U4EXX8oYmTPsiVZyF9K8Vj198ULiMd9c4BBVpRT3DNcYCrtcapteNetyVXJsmSm8l&id=100054983478291 Reference: Eyewitness report via أحوال الطقس 2 (on Facebook), 02 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Missour,Morocco,33.05,3.99,02-09-2023,15:20,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://fesnews.media/260881/2023/09/04/ Reference: ""التبروري يتسبب في خسائر مادية جسيمة لمزارعي الزيتون في إقليمي ميسور وبولمان"", fesnews.media, 04 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Maghraoua,Maghraoua,Morocco,33.93,4.05,02-09-2023,15:15,"based on information from:  a report on a website, photo or video of the event, an eye-witness report maximum hail diameter: 2.5 cm Large hail up to at least 2.5 cm i.d. was reported after the passage of a thunderstorm. Time was based on SAT data and Blitzortung lightning detection system. https://www.facebook.com/permalink.php?story_fbid=pfbid02N5VWYuAD2vGA6RrEBQN99VhB6ZCXLuqbkuR3RurAF4YudsK7n1MG8DDruW4hgsBEl&id=100044398000641 Reference: Eyewitness report via طقس شمال غرب افريقيا تونس الجزائر المغرب ليبيا موريتانيا (on Facebook), 02 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
large hail,Fès-Boulemane,Boulemane,Morocco,33.36,4.75,02-09-2023,14:15,"based on information from:  a report on a website, an eyewitness report of the damage Impacts: Crops/farmland damaged Large hail caused damage to crops in this area. Time was based on radar data. https://fesnews.media/260881/2023/09/04/ Reference: ""التبروري يتسبب في خسائر مادية جسيمة لمزارعي الزيتون في إقليمي ميسور وبولمان"", fesnews.media, 04 SEP 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Oriental,Berkane,Morocco,34.92,2.32,23-10-2023,16:00,"based on information from:  an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed Flooded streets were reported. Time was based on SAT data. https://www.facebook.com/permalink.php?story_fbid=pfbid0uCSMDvvEvRSWDksrDUMH9RU6fMgFNbiGRWQk83Ho66LaQEd7KQJXcYH8N1kmgYzvl&id=100063553612035 Reference: Eyewitness report via Severe Weather Morocco (on Facebook), 23 OCT 2023. report status: plausibility check passed (QC0+) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Tanger-Tétouan,Tetouan,Morocco,35.59,5.33,22-10-2023,16:30,"based on information from:  a report on a website, a report by a weather service wind speed: 25.8 m/s Weather station recorded a wind gust of 25.8 m/s. https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60318&decoded=yes&ndays=2&ano=2023&mes=10&day=23&hora=06 Reference: Ogimet.com, date of access: 24 OCT 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Tanger-Tétouan,Larache,Morocco,35.16,6.12,22-10-2023,13:30,"based on information from:  a report on a website, a report by a weather service wind speed: 25.2 m/s Weather station recorded a wind gust of 25.2 m/s. https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60105&decoded=yes&ndays=2&ano=2023&mes=10&day=23&hora=06 Reference: Ogimet.com, date of access: 24 OCT 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Rabat-Salé-Zemmour-Zaër,Salé,Morocco,34.05,6.76,22-10-2023,13:30,"based on information from:  a report on a website, a report by a weather service wind speed: 29.3 m/s Weather station recorded a wind gust of 29.3 m/s. https://www.ogimet.com/cgi-bin/gsynres?lang=en&ind=60135&decoded=yes&ndays=2&ano=2023&mes=10&day=23&hora=06 Reference: Ogimet.com, date of access: 24 OCT 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Rabat-Salé-Zemmour-Zaër,Rabat,Morocco,34.02,6.83,22-10-2023,12:00,"based on information from:  an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Tree(s) uprooted or snapped Wind damage (downed trees) was reported after a period of strong wind gusts. Time was based on local PWS data. https://www.facebook.com/permalink.php?story_fbid=pfbid0212zJUxxV2ggVSY3eu6Hhxk9GkyzLVdtYPbhXkneFcRG9U6zPzWYV3n9yiYv2voRHl&id=100063553612035 Reference: Eyewitness report via Severe Weather Morocco (on Facebook), 22 OCT 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Grand Casablanca,Casablanca,Morocco,33.59,7.61,22-10-2023,11:00,"based on information from:  an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Airport(s) closed (for more than an hour), Power transmission damaged or destroyed, Car(s) dented, Tree(s) uprooted or snapped Wind damage (downed trees, damaged cars) was reported after a period of strong wind gusts. Strong wind caused a dust storm which lead to traffic collisions. Time was based on local PWS data. https://www.facebook.com/mohamed.oumazou.1/posts/1464720697422777?ref=embed_post https://ar.hibapress.com/details-471143.html https://casa24.ma/Casablanca/49403.html Reference: Eyewitness report (on Facebook), 22 OCT 2023.  ""العاصفة القوية تربك حركة الطيران بالمغرب"", HibaPress, 22 OCT 2023.  ""رياح قوية محملة بالغبار تخلف خسائر بالدار البيضاء"", Casa24, 22  OCT 2023. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Meknès-Tafilalet,Midelt,Morocco,32.68,4.74,27-02-2024,10:30,"based on information from:  a report on a website, a report by a weather service wind speed: 26.8 m/s Weather station recorded a peak wind gust of 26.8 m/s (+/- 0,5 m/s) https://www.ogimet.com/cgi-bin/gsynres?ind=60195&lang=en&decoded=yes&ndays=2&ano=2024&mes=02&day=28&hora=06 Reference: Ogimet.com, date of access: 28 FEB 2024. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Oriental,Oujda,Morocco,34.68,1.91,26-02-2024,13:30,"based on information from:  a report on a website, a report by a weather service, photograph(s) and/or video footage of the inflicted damage wind speed: 25.2 m/s Weather station recorded a peak wind gust of 25.2 m/s (+/- 0,5 m/s). Due to strong wind, a dust storm formed and engulfed the city. https://www.ogimet.com/cgi-bin/gsynres?ind=60115&lang=en&decoded=yes&ndays=2&ano=2024&mes=02&day=27&hora=05 https://www.youtube.com/watch?v=SwTNdccjW_0 Reference: Ogimet.com, date of access: 27 FEB 2024.  رياح قوية وعاصفة من الغبار تغطي سماء وجدة (on Youtube), 27 FEB 2024. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Meknès-Tafilalet,Midelt,Morocco,32.68,4.74,26-02-2024,13:30,"based on information from:  a report on a website, a report by a weather service wind speed: 25.2 m/s Weather station recorded a peak wind gust of 25.2 m/s (+/- 0,5 m/s) https://www.ogimet.com/cgi-bin/gsynres?ind=60195&lang=en&decoded=yes&ndays=2&ano=2024&mes=02&day=27&hora=05 Reference: Ogimet.com, date of access: 27 FEB 2024. report status: plausibility check passed (QC0+) contact: Igor Laskowski (ESWD management)",0,#map_div
severe wind,Malabata,Tangier,Morocco,35.78,5.77,09-02-2024,10:30,"based on information from:  a report on a website Number of people dead: 1 . A 30-year-old woman was killed by a fallen billboard during a period of strong wind gusts. https://ar.le360.ma/societe/5BQIS6Y5JNABFD4VV3FMUP2EB4/ Reference: ""الرياح القوية تتسبب في مصرع شابة بطنجة وخسائر مادية بتطوان"", le360, 09 FEB 2024. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",1,#map_div
